,House_door_model,architecture_acreage,within_acreage,Building_head,decorate_situation,heating_method,period_int,floor,Family_structure,building_types,building_age,building_structure,Ladder_household_proportion,Equipped_elevator,house_id,listing_time,house_age,Trading_ownership,usage_house,houseing_belog,house_site,bargain_time,bargain_price,unit_price,listing_price,bargain_day_num,adjust_price,take_look,attention,view_count
1535,2室1厅1厨1卫        ,84.67㎡          ,暂无数据         ,南   ,其他     ,        ,70年           ,高楼层(共33层)          ,平层              ,塔楼       ,2012 ,钢混结构  ,三梯六户           ,有           ,GZ0002651889          ,2017-05-01         ,暂无数据       ,商品房          ,普通住宅          ,暂无数据           ,新世界凯粤湾 2室1厅 84.67平米,2018.04.24 成交,372,43936,380,358,1,0,44,6563
1536,2室1厅1厨1卫        ,62.14㎡          ,暂无数据         ,北   ,其他     ,        ,70年           ,中楼层(共30层)          ,暂无数据              ,塔楼       ,2012 ,钢混结构  ,五梯四十户           ,有           ,GZ0003173362          ,2017-10-17         ,暂无数据       ,商品房          ,普通住宅          ,暂无数据           ,纵横国际公寓 2室1厅 62.14平米,2018.04.24 成交,245,39428,270,189,1,0,60,2981
1537,2室1厅1厨1卫        ,37.58㎡          ,暂无数据         ,东北   ,简装     ,        ,70年           ,高楼层(共9层)          ,暂无数据              ,塔楼       ,1999 ,钢混结构  ,一梯八户           ,无           ,GZ0003791847          ,2018-03-22         ,暂无数据       ,商品房          ,普通住宅          ,暂无数据           ,晓港湾惠侨苑 2室1厅 37.58平米,2018.04.24 成交,120,31932,120,33,1,0,169,1348
1538,3室2厅1厨2卫        ,106㎡          ,暂无数据         ,东南   ,其他     ,        ,70年           ,中楼层(共9层)          ,暂无数据              ,塔楼       ,1999 ,钢混结构  ,一梯四户           ,有           ,GZ0003947017          ,2018-03-28         ,暂无数据       ,商品房          ,普通住宅          ,暂无数据           ,黄石小区 3室2厅 106平米,2018.04.24 成交,366,34529,390,27,0,0,2,167
1539,2室2厅1厨1卫        ,82㎡          ,暂无数据         ,北   ,精装     ,        ,70年           ,低楼层(共13层)          ,暂无数据              ,塔楼       ,2011 ,钢混结构  ,两梯六户           ,有           ,GZ0003796376          ,2018-03-09         ,暂无数据       ,商品房          ,普通住宅          ,暂无数据           ,黄埔花园 2室2厅 82平米,2018.04.24 成交,300,36586,305,46,1,0,12,551
1540,3室2厅1厨1卫        ,113㎡          ,暂无数据         ,北   ,其他     ,        ,70年           ,中楼层(共55层)          ,暂无数据              ,塔楼       ,未知 ,钢混结构  ,两梯六户           ,有           ,GZ0004032489          ,2018-03-06         ,暂无数据       ,商品房          ,普通住宅          ,暂无数据           ,亚运城天誉 3室2厅 113平米,2018.04.24 成交,268,23717,280,49,0,0,4,51
1541,2室1厅1厨1卫        ,79.09㎡          ,暂无数据         ,南 北   ,简装     ,        ,70年           ,高楼层(共28层)          ,暂无数据              ,塔楼       ,2007 ,钢混结构  ,三梯四户           ,有           ,GZ0003992613          ,2018-04-20         ,暂无数据       ,商品房          ,普通住宅          ,暂无数据           ,泓景花园 2室1厅 79.09平米,2018.04.22 成交,495,62587,500,2,0,0,7,162
1542,2室2厅1厨1卫        ,81.3㎡          ,66.49㎡         ,南   ,其他     ,        ,70年           ,低楼层(共28层)          ,暂无数据              ,塔楼       ,2000 ,钢混结构  ,两梯八户           ,有           ,GZ0003956720          ,2018-04-15         ,暂无数据       ,商品房          ,普通住宅          ,暂无数据           ,鸿城花园 2室2厅 81.3平米,2018.04.22 成交,206,25339,210,7,0,0,16,288
1543,2室2厅1厨1卫        ,69㎡          ,暂无数据         ,北   ,精装     ,        ,70年           ,低楼层(共32层)          ,暂无数据              ,塔楼       ,2004 ,钢混结构  ,两梯八户           ,有           ,GZ0003383011          ,2018-01-15         ,暂无数据       ,商品房          ,普通住宅          ,暂无数据           ,金碧世纪花园 2室2厅 69平米,2018.04.22 成交,242.5,35145,243,97,1,0,42,1958
1544,2室1厅1厨1卫        ,74.88㎡          ,暂无数据         ,南 北   ,其他     ,        ,70年           ,中楼层(共15层)          ,暂无数据              ,塔楼       ,未知 ,钢混结构  ,两梯八户           ,有           ,GZ0003319405          ,2017-11-28         ,暂无数据       ,商品房          ,普通住宅          ,暂无数据           ,又一居花园 2室1厅 74.88平米,2018.04.22 成交,269,35925,278,145,1,0,21,2617
1545,2室1厅1厨1卫        ,69.89㎡          ,暂无数据         ,南 北   ,精装     ,        ,70年           ,高楼层(共9层)          ,暂无数据              ,塔楼       ,1999 ,钢混结构  ,一梯四户           ,无           ,GZ0003294143          ,2017-12-19         ,暂无数据       ,商品房          ,普通住宅          ,暂无数据           ,康雅花园 2室1厅 69.89平米,2018.04.22 成交,169,24181,175,124,1,0,78,2730
1546,2室2厅1厨1卫        ,64.05㎡          ,暂无数据         ,南   ,其他     ,        ,70年           ,高楼层(共29层)          ,暂无数据              ,塔楼       ,2012 ,钢混结构  ,三梯八户           ,有           ,GZ0003455774          ,2018-01-28         ,暂无数据       ,商品房          ,普通住宅          ,暂无数据           ,丰逸尚居 2室2厅 64.05平米,2018.04.22 成交,240,37471,245,84,1,0,42,1736
1547,2室1厅1厨1卫        ,61.44㎡          ,暂无数据         ,西   ,其他     ,        ,70年           ,低楼层(共9层)          ,暂无数据              ,塔楼       ,1997 ,钢混结构  ,一梯四户           ,无           ,GZ0003928874          ,2018-04-10         ,暂无数据       ,商品房          ,普通住宅          ,暂无数据           ,棠德花园 2室1厅 61.44平米,2018.04.22 成交,190,30925,198,12,1,0,10,308
1548,2室2厅1厨1卫        ,79.79㎡          ,暂无数据         ,北   ,其他     ,        ,70年           ,低楼层(共18层)          ,暂无数据              ,塔楼       ,2012 ,钢混结构  ,两梯六户           ,有           ,GZ0003311283          ,2017-12-23         ,暂无数据       ,商品房          ,普通住宅          ,暂无数据           ,富力金港城东区 2室2厅 79.79平米,2018.04.22 成交,125,15667,125,120,0,0,15,2100
1549,3室2厅1厨1卫        ,93㎡          ,暂无数据         ,南   ,其他     ,        ,70年           ,低楼层(共18层)          ,暂无数据              ,塔楼       ,2012 ,钢混结构  ,两梯八户           ,有           ,GZ0003916189          ,2018-03-28         ,暂无数据       ,商品房          ,普通住宅          ,暂无数据           ,富力金港城东区 3室2厅 93平米,2018.04.22 成交,150,16130,150,25,1,0,4,340
1550,1室0厅1厨1卫        ,28㎡          ,暂无数据         ,东   ,简装     ,        ,70年           ,中楼层(共32层)          ,暂无数据              ,塔楼       ,2000 ,钢混结构  ,两梯七户           ,有           ,GZ0004003335          ,2018-04-20         ,暂无数据       ,商品房          ,普通住宅          ,暂无数据           ,金碧花园第一金碧 1室0厅 28平米,2018.04.22 成交,120,42858,125,2,0,0,5,10
1551,2室1厅1厨1卫        ,37㎡          ,暂无数据         ,西   ,简装     ,        ,70年           ,高楼层(共9层)          ,暂无数据              ,塔楼       ,1997 ,钢混结构  ,一梯七户           ,无           ,GZ0003627193          ,2018-03-06         ,暂无数据       ,商品房          ,普通住宅          ,暂无数据           ,江南雅居 2室1厅 37平米,2018.04.22 成交,142,38379,145,47,0,0,101,1302
1552,2室2厅1厨1卫        ,68.7㎡          ,暂无数据         ,北   ,其他     ,        ,70年           ,高楼层(共7层)          ,暂无数据              ,塔楼       ,1998 ,钢混结构  ,一梯四户           ,无           ,GZ0003899423          ,2018-04-08         ,暂无数据       ,商品房          ,普通住宅          ,暂无数据           ,富都城 2室2厅 68.7平米,2018.04.22 成交,155,22562,159,14,0,0,41,571
