,house_室,house_厅,house_厨,house_卫,architecture_acreage_,within_acreage_,Building_head,decorate_situation,period_int,floor_楼,floor_层,Family_structure,building_types,building_age_,building_structure,Ladder_household_proportion,Equipped_elevator,house_age,Trading_ownership,usage_house,houseing_belog,bargain_price,unit_price,listing_price,bargain_day_num_,adjust_price,take_look,attention,view_count_
960,2.0,1.0,1.0,1.0,45.38,45.38,东,简装,70年,底楼层,1.0,暂无数据,塔楼,2003,钢混结构,两梯十三户,有,满两年,商品房,普通住宅,暂无数据,170.0,37462,175.0,452.0,0,0,28,452.0
961,2.0,2.0,1.0,1.0,83.0,83.0,东,其他,70年,底楼层,1.0,暂无数据,塔楼,2004,钢混结构,三梯八户,有,满五年,商品房,普通住宅,暂无数据,308.0,37109,315.0,448.0,0,0,6,448.0
962,2.0,2.0,1.0,1.0,70.0,70.0,东南,其他,70年,底楼层,1.0,暂无数据,塔楼,1995,钢混结构,两梯八户,有,暂无数据,商品房,普通住宅,暂无数据,105.0,15000,108.0,224.0,0,0,5,224.0
963,2.0,1.0,1.0,2.0,58.76,58.76,东,其他,70年,中楼层,9.0,暂无数据,塔楼,1990,钢混结构,一梯四户,无,暂无数据,商品房,普通住宅,暂无数据,200.0,34037,205.0,1492.0,1,0,13,1492.0
964,2.0,1.0,1.0,1.0,49.32,49.32,北,其他,70年,中楼层,6.0,暂无数据,塔楼,1997,钢混结构,一梯三户,无,暂无数据,商品房,普通住宅,暂无数据,173.0,35078,190.0,337.0,1,0,7,337.0
965,3.0,2.0,1.0,1.0,98.9,98.8,南,其他,70年,中楼层,7.0,暂无数据,塔楼,2000,钢混结构,一梯两户,无,暂无数据,商品房,普通住宅,暂无数据,240.0,24267,248.0,1725.0,1,0,22,1725.0
966,3.0,2.0,1.0,2.0,105.16,81.08,东南,其他,70年,底楼层,1.0,暂无数据,塔楼,2011,钢混结构,两梯三户,有,暂无数据,商品房,普通住宅,暂无数据,100.0,9510,100.0,1622.0,1,0,34,1622.0
967,3.0,2.0,1.0,2.0,108.0,108.0,北,简装,70年,底楼层,1.0,暂无数据,塔楼,2005,钢混结构,两梯八户,有,暂无数据,商品房,普通住宅,暂无数据,720.0,66667,730.0,6278.0,1,0,73,6278.0
968,2.0,1.0,1.0,1.0,58.6,58.6,西南,其他,70年,底楼层,1.0,暂无数据,塔楼,2000,钢混结构,三梯三十一户,有,暂无数据,商品房,普通住宅,暂无数据,182.0,31059,185.0,3458.0,1,0,145,3458.0
969,3.0,2.0,1.0,2.0,100.25,100.25,北,其他,70年,底楼层,1.0,暂无数据,塔楼,2000,钢混结构,一梯四户,有,暂无数据,商品房,普通住宅,暂无数据,487.5,48629,495.0,3758.0,1,0,29,3758.0
970,1.0,0.0,1.0,1.0,31.92,29.16,南,简装,70年,高楼层,9.0,暂无数据,塔楼,1999,钢混结构,一梯六户,无,暂无数据,商品房,普通住宅,暂无数据,136.0,42607,138.0,3544.0,1,0,133,3544.0
971,2.0,2.0,1.0,1.0,70.0,70.0,南,简装,70年,底楼层,1.0,暂无数据,塔楼,2004,钢混结构,两梯六户,有,暂无数据,商品房,普通住宅,暂无数据,250.0,35715,252.0,1399.0,1,0,27,1399.0
972,2.0,2.0,1.0,1.0,79.18,79.18,东北,简装,70年,底楼层,1.0,暂无数据,塔楼,2008,钢混结构,两梯六户,有,暂无数据,商品房,普通住宅,暂无数据,330.0,41678,345.0,1108.0,1,0,8,1108.0
973,3.0,2.0,1.0,1.0,86.9,86.9,南,其他,70年,底楼层,1.0,暂无数据,塔楼,2002,钢混结构,两梯八户,有,暂无数据,商品房,普通住宅,暂无数据,425.0,48907,440.0,4080.0,1,0,45,4080.0
974,1.0,0.0,1.0,1.0,19.0,16.17,南,其他,70年,高楼层,9.0,暂无数据,塔楼,1997,钢混结构,一梯十一户,无,暂无数据,商品房,普通住宅,暂无数据,50.0,26316,55.0,850.0,0,0,26,850.0
975,2.0,1.0,1.0,1.0,70.15,70.15,东,其他,70年,底楼层,1.0,暂无数据,塔楼,2000,钢混结构,两梯十二户,有,暂无数据,商品房,普通住宅,暂无数据,190.0,27085,195.0,3675.0,1,0,182,3675.0
976,1.0,0.0,1.0,1.0,46.0,46.0,南,精装,70年,底楼层,1.0,暂无数据,塔楼,2007,钢混结构,四梯十七户,有,暂无数据,商品房,普通住宅,暂无数据,185.0,40218,200.0,652.0,1,0,11,652.0
977,3.0,2.0,1.0,1.0,93.56,93.56,东南,其他,70年,底楼层,1.0,暂无数据,塔楼,2000,钢混结构,一梯四户,有,暂无数据,商品房,普通住宅,暂无数据,188.0,20095,195.0,650.0,1,0,7,650.0
978,3.0,2.0,1.0,2.0,83.0,83.0,南,其他,50年,底楼层,1.0,暂无数据,塔楼,2013,钢混结构,两梯十一户,有,暂无数据,商品房,商住两用,暂无数据,120.0,14458,120.0,656.0,0,0,35,656.0
979,3.0,2.0,1.0,1.0,98.0,98.0,西北,其他,70年,底楼层,1.0,暂无数据,塔楼,2010,钢混结构,一梯四户,有,暂无数据,商品房,普通住宅,暂无数据,330.0,33674,340.0,3478.0,1,0,18,3478.0
